alert_id,txn_id,fraud_type,risk_score,alert_time,resolved,notes
31,3371,"Repeated Failed Attempts",62,"2023-01-13 06:47:17",0,NULL
32,2867,"Repeated Failed Attempts",75,"2023-01-16 16:11:58",0,NULL
33,4984,"Repeated Failed Attempts",78,"2023-01-17 05:58:30",0,NULL
34,4985,"Repeated Failed Attempts",75,"2023-01-17 05:59:20",0,NULL
35,4986,"Repeated Failed Attempts",79,"2023-01-17 06:00:33",0,NULL
36,4987,"Repeated Failed Attempts",70,"2023-01-17 06:07:05",0,NULL
37,4988,"Repeated Failed Attempts",74,"2023-01-17 06:04:50",0,NULL
38,4989,"Repeated Failed Attempts",75,"2023-01-17 06:10:34",0,NULL
39,4990,"Repeated Failed Attempts",72,"2023-01-17 06:12:06",0,NULL
40,4938,"Repeated Failed Attempts",73,"2023-01-17 12:44:16",0,NULL
41,4939,"Repeated Failed Attempts",69,"2023-01-17 12:46:44",0,NULL
42,4940,"Repeated Failed Attempts",56,"2023-01-17 12:46:29",0,NULL
43,4941,"Repeated Failed Attempts",72,"2023-01-17 12:52:01",0,NULL
44,3870,"Night-Time High Value",72,"2023-01-18 01:57:26",0,NULL
45,406,"Night-Time High Value",73,"2023-01-19 01:14:18",0,NULL
46,3956,"Night-Time High Value",87,"2023-01-20 01:41:21",0,NULL
47,1024,"Night-Time High Value",85,"2023-01-21 01:32:51",0,NULL
48,303,"Night-Time High Value",85,"2023-01-24 02:51:46",0,NULL
49,3764,"Night-Time High Value",80,"2023-01-25 01:20:45",0,NULL
50,2402,"Night-Time High Value",80,"2023-01-25 01:32:56",0,NULL
51,321,"Repeated Failed Attempts",62,"2023-01-26 07:53:05",0,NULL
52,2176,"Night-Time High Value",87,"2023-01-27 03:53:12",0,NULL
53,2049,"Night-Time High Value",76,"2023-01-28 03:00:51",0,NULL
54,777,"Repeated Failed Attempts",62,"2023-01-28 20:41:04",0,NULL
55,3721,"Night-Time High Value",89,"2023-01-29 02:33:04",0,NULL
56,4660,"Unusual Merchant Pattern",61,"2023-01-29 16:42:08",0,NULL
57,4658,"Unusual Merchant Pattern",81,"2023-01-29 16:49:38",0,NULL
58,5046,"Repeated Failed Attempts",71,"2023-01-29 21:00:03",0,NULL
59,5047,"Repeated Failed Attempts",59,"2023-01-29 21:02:04",0,NULL
60,5048,"Repeated Failed Attempts",62,"2023-01-29 21:01:38",0,NULL
61,2559,"Night-Time High Value",86,"2023-01-30 02:38:42",0,NULL
62,2658,"Night-Time High Value",90,"2023-01-30 03:16:09",0,NULL
63,2581,"Repeated Failed Attempts",56,"2023-01-31 18:34:02",0,NULL
64,2485,"Night-Time High Value",65,"2023-02-01 01:55:06",0,NULL
65,2726,"Night-Time High Value",71,"2023-02-01 02:30:46",0,NULL
66,4767,"High Value Transfer",75,"2023-02-03 01:57:47",0,NULL
67,1109,"Repeated Failed Attempts",78,"2023-02-06 16:01:48",0,NULL
68,1650,"Night-Time High Value",81,"2023-02-07 03:04:27",0,NULL
69,1394,"Night-Time High Value",84,"2023-02-08 02:57:04",0,NULL
70,2209,"Repeated Failed Attempts",72,"2023-02-08 10:48:16",0,NULL
71,3933,"Repeated Failed Attempts",77,"2023-02-08 13:49:59",0,NULL
72,1524,"Night-Time High Value",73,"2023-02-09 01:38:54",0,NULL
73,2807,"Repeated Failed Attempts",78,"2023-02-09 06:47:21",0,NULL
74,3106,"Repeated Failed Attempts",60,"2023-02-09 13:55:05",0,NULL
75,2603,"Repeated Failed Attempts",55,"2023-02-11 00:11:46",0,NULL
76,3469,"Night-Time High Value",88,"2023-02-11 01:23:29",0,NULL
77,1536,"Night-Time High Value",66,"2023-02-11 02:10:51",0,NULL
78,3235,"Repeated Failed Attempts",70,"2023-02-11 05:01:52",0,NULL
79,1602,"Repeated Failed Attempts",59,"2023-02-11 05:51:45",0,NULL
80,3210,"Night-Time High Value",67,"2023-02-13 03:40:17",0,NULL
81,2374,"Night-Time High Value",73,"2023-02-14 03:14:23",0,NULL
82,4442,"High Value Transfer",79,"2023-02-14 12:07:36",0,NULL
83,4232,"Night-Time High Value",77,"2023-02-15 03:39:42",0,NULL
84,4463,"High Value Transfer",76,"2023-02-15 09:44:25",0,NULL
85,4104,"Night-Time High Value",71,"2023-02-16 01:20:53",0,NULL
86,5024,"Repeated Failed Attempts",64,"2023-02-16 07:07:22",0,NULL
87,5025,"Repeated Failed Attempts",68,"2023-02-16 07:09:31",0,NULL
88,5026,"Repeated Failed Attempts",57,"2023-02-16 07:13:40",0,NULL
89,5027,"Repeated Failed Attempts",63,"2023-02-16 07:13:01",0,NULL
90,5028,"Repeated Failed Attempts",80,"2023-02-16 07:17:58",0,NULL
91,366,"Night-Time High Value",70,"2023-02-17 03:21:25",0,NULL
92,4806,"Night-Time High Value",81,"2023-02-19 01:42:18",0,NULL
93,3647,"Night-Time High Value",81,"2023-02-19 01:47:14",0,NULL
94,1812,"Repeated Failed Attempts",78,"2023-02-20 00:41:18",0,NULL
95,4935,"Repeated Failed Attempts",67,"2023-02-20 06:00:59",0,NULL
96,4936,"Repeated Failed Attempts",80,"2023-02-20 06:00:25",0,NULL
97,4937,"Repeated Failed Attempts",57,"2023-02-20 06:01:44",0,NULL
98,1660,"Night-Time High Value",69,"2023-02-21 02:13:27",0,NULL
99,4791,"Night-Time High Value",79,"2023-02-22 01:41:55",0,NULL
100,2247,"Repeated Failed Attempts",74,"2023-02-22 12:08:07",0,NULL
